label,kind,status,occurrences,first_source_url
El Camino Real Charter High School,inline-strong,UNMAPPED,57,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/d5da79bf-29f0-41e4-9dbc-564542de86ac
Evacuation Warnings are in effect for the following zones,inline-colon,UNMAPPED,57,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/942cb060-2ee0-47e8-83fe-96e13b9d82e9
North,inline-colon,UNMAPPED,57,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/42d66ab9-f0a3-44bc-9f7f-aaa496ef5c54
South,inline-colon,UNMAPPED,57,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/42d66ab9-f0a3-44bc-9f7f-aaa496ef5c54
West,inline-colon,UNMAPPED,57,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/42d66ab9-f0a3-44bc-9f7f-aaa496ef5c54
Evacuation Orders are in effect for the following zones,inline-colon,UNMAPPED,55,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/942cb060-2ee0-47e8-83fe-96e13b9d82e9
City of Santa Monica,inline-strong,UNMAPPED,48,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/c1a8570d-45de-4e14-aa62-1e43bede8c43
Community Meeting,inline-strong,mapped,40,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/2b9d880c-6a76-44d2-8fd6-36d3ccd10f09
"Community Meeting, January 11th, 2025",inline-strong,UNMAPPED,40,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/25abbe52-f080-442a-8001-e83b5fd435f0
"Community Meeting, January 11th, 2025 6",inline-colon,UNMAPPED,40,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/25abbe52-f080-442a-8001-e83b5fd435f0
"Virtual Town Hall, January 10th, 2025",inline-strong,UNMAPPED,39,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/692632f1-d814-466c-924c-5d4dd447a3b5
"Virtual Town Hall, January 10th, 2025 6",inline-colon,UNMAPPED,39,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/692632f1-d814-466c-924c-5d4dd447a3b5
Red Flag Warning,inline-strong,UNMAPPED,38,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/0707c9b0-4da9-4129-8e42-5c589e3af099
Unsafe Drinking Water Notice,heading-h3,mapped,37,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/f23c37f7-d392-4ae5-9360-20bc9a27fb7d
OPEN TO RESIDENTS ONLY!,inline-strong,mapped,36,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/01298765-e538-4574-8b6f-3c5fe1edbc9d
M,inline-strong,UNMAPPED,34,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/692632f1-d814-466c-924c-5d4dd447a3b5
"M orning Press Release, January 10th, 2025 8",inline-colon,UNMAPPED,34,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/692632f1-d814-466c-924c-5d4dd447a3b5
Disaster Resource Center,inline-strong,mapped,30,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/7a4a17a2-6985-44d3-a7ba-b6e98afde1b4
City of Los Angeles Zones,inline-strong,UNMAPPED,29,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/c2f1e8db-30bf-4d18-bad2-cc36d50a1484
City of Los Angeles Zones,inline-colon,UNMAPPED,29,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/c2f1e8db-30bf-4d18-bad2-cc36d50a1484
inaccurate social media post,inline-strong,UNMAPPED,29,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/a6ed2094-9286-48d2-8a53-16b19a6d564f
Resident Access,inline-strong,UNMAPPED,27,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/900c95b3-b29c-4f1f-88b1-5233a900ce37
Resident Access,inline-colon,UNMAPPED,27,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/900c95b3-b29c-4f1f-88b1-5233a900ce37
Ventura County Location,inline-strong,mapped,25,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/f33d5142-e7f4-4af6-8226-70a95a5c3472
Repopulation & Recovery Information,heading-h3,mapped,24,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/3bf16f84-0ccc-446f-ba6a-1684cc7e925d
"Community Meeting Thursday, January 16, 2025 - 6",inline-colon,UNMAPPED,23,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/1bde4e63-471d-484c-bbb8-9ed5aa150ffe
Livestream,inline-colon,inline-mapped,23,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/1bde4e63-471d-484c-bbb8-9ed5aa150ffe
An Evacuation Center is being established,inline-colon,UNMAPPED,22,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/72c54098-4ba9-4773-a8c2-0fab288a80e1
Evacuation Centers are being established,inline-colon,UNMAPPED,22,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/fb42ddab-8486-4dc5-be48-c6f1144a1647
Boil Water notice,inline-strong,UNMAPPED,21,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/30608d23-736b-48f9-b0f5-4055e212abf3
Governors Office Press Releases,heading-h3,mapped,21,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/866b33d4-b7de-4ba5-8778-7e051400bb47
City of Los Angeles,inline-strong,UNMAPPED,20,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/c1a8570d-45de-4e14-aa62-1e43bede8c43
Van Nuys Recreation Center,inline-strong,UNMAPPED,20,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/57893ac3-f7d7-4dbd-9692-191c319d17d6
Area 2,inline-strong,UNMAPPED,19,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/42d66ab9-f0a3-44bc-9f7f-aaa496ef5c54
California Wildfires Reunifications,heading-h3,mapped,19,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/6ae0d671-0026-4a79-9e3f-a6e5d9a281f5
Disaster Assessment,heading-h3,mapped,19,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/b5d914da-67bc-4e65-9368-998afaedd3a0
Escorts for newly repopulated zones will be conducted from 12,inline-colon,UNMAPPED,18,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/01298765-e538-4574-8b6f-3c5fe1edbc9d
"Community Meeting Friday, January 17, 2025 - 6",inline-colon,UNMAPPED,17,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/2b9d880c-6a76-44d2-8fd6-36d3ccd10f09
Incident Photos and Videos,inline-strong,mapped,17,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/87fececc-b997-476d-8ec5-d15c5aaea879
Do Not Drink notice,inline-strong,UNMAPPED,16,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/f23c37f7-d392-4ae5-9360-20bc9a27fb7d
AIR QUALITY ADVISORY,inline-strong,UNMAPPED,14,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/e97c9c8d-1328-49cf-955d-a6376f6cf434
